"Id","Раздел","Инструкция","Приоритет","Уровень пользователя","Сложность","Процессы","Ссылки на инструкции","Ответственный","Квартал","План дата","Статус","Проверил","Формат","Содержание","Распространённые ошибки","Комментарии/Задачи","Путь к оригиналу","Путь к публикации (диск P)","Путь к публикации (URL)"
"89","КР","Арматура","0","Продвинутый","Средняя","Оформление армирования, Проверка армирования","","Попов А.М.","IV 2024","","Готово","","Текст","Полное описание параметров арматуры, базовых инструментов размещения стрежней, правил использования пользовательских семейств арматурных стержней и изделий","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Арматура\Арматура.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Арматура.pdf","https://atom-bim.ru/Instruct/Revit/КР/Инструкция_Revit_Арматура_v2.php"
"90","КР","Обзор параметров арматуры","0","Продвинутый","Средняя","","","Попов А.М.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Обзор параметров арматуры\Обзор параметров арматуры.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Обзор параметров арматуры.mkv","https://rutube.ru/video/6846e9e30192a9f0cd27ae4720fb640c/?r=plemwd"
"91","КР","Проверка параметров армирования","0","Продвинутый","Средняя","Проверка армирования","Обзор параметров арматуры","Попов А.М.","IV 2024","","Готово","","Видео","Процесс проверки правильности заполнения параметров несущих конструкций и арматуры. Подробно показаны инструменты контроля заполнения параметров","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Проверка параметров армирования\Проверка параметров армирования.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Армирование_Проверка параметров арматуры.mkv","https://rutube.ru/video/1279ab0997e4ba53e1653f615733ca60/?r=plemwd"
"92","КР","Несущие колонны","0","Базовый","Низкая","Моделирование несущих стен и колонн","","Калачев Д.А.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Несущие колонны\Несущие колонны.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Несущие колонны.pdf","https://atom-bim.ru/Instruct/Revit/КР/Инструкция_Revit_Несущие_колонны_v3.php"
"93","КР","Несущие стены","0","Базовый","Низкая","Моделирование несущих стен и колонн","","Панов А.В.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Несущие стены\Несущие стены.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Несущие стены.pdf","https://atom-bim.ru/Instruct/Revit/КР/Инструкция_Revit_Несущие_стены_v2.0.php"
"94","КР","Рабочие наборы КР","0","Базовый","Низкая","Совместная работа","","Красильников Д.С.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Рабочие наборы КР\Рабочие наборы КР.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Рабочие наборы КР.mp4","https://rutube.ru/video/d5965b6fdce4a731576f0f9840688145/?r=plemwd"
"95","КР","Таблица идентификации КР","0","Базовый","Низкая","","","Красильников Д.С.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Таблица идентификации КР\Таблица идентификации КР.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Таблица идентификации КР.mp4","https://rutube.ru/video/cd3933cf444c0a9b59554dc5dfc15796/?r=plemwd"
"96","КР","Армирование плит","0","Продвинутый","Средняя","Моделирование армирования плит","","Попов А.М.","IV 2024","","Готово","","Видео","Алгоритмы размещения арматурных стержней и изделий в плитах","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Армирование плит\Армирование плит.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Армирование_Плиты.mkv","https://rutube.ru/video/75725b9a55a63815650a22ba30fde507/?r=plemwd"
"97","КР","Армирование круглых колонн","0","Продвинутый","Средняя","Моделирование армирования колонн","","Попов А.М.","IV 2024","","Готово","","Видео","Алгоритм армирования круглых колонн","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Армирование круглых колонн\Армирование круглых колонн.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Армирование_Круглые колонны.mkv","https://rutube.ru/video/57baf8e40045026d8b4e77871476ea33/?r=plemwd"
"98","КР","Армирование рамп","0","Продвинутый","Высокая","Моделирование армирования, Моделирование армирования плит","","Попов А.М.","IV 2024","","Готово","","Видео","Алгоритм армирования наклонных конструкций на примере рампы","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Армирование рамп\Армирование рамп.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Армирование_Наклонные конструкции (Рампы).mkv","https://rutube.ru/video/15f915c6eaa67a254402d8d04ec8da10/?r=plemwd"
"99","КР","Армирование лестниц","0","Продвинутый","Средняя","Моделирование армирования лестниц","","Попов А.М.","IV 2024","","Готово","","Видео","Алгоритм армирования лестниц","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Армирование лестниц\Армирование лестниц.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Армирование_Лестницы.mkv","https://rutube.ru/video/161b4bc2628ad56bd122d6cf7bb01a08/?r=plemwd"
"100","КР","Зависимости арматурных стержней","0","Продвинутый","Средняя","Моделирование армирования","","Попов А.М.","IV 2024","","Готово","","Видео","Разобран механизм работы стандартного инструмента зависимостей стержней","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Зависимости арматурных стержней\Зависимости арматурных стержней.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Армирование_Зависимости стержней.mkv","https://rutube.ru/video/203b9ec9358631b290cd147d836e493a/?r=plemwd"
"101","КР","Оформление чертежей изделий (ИЗ)","0","Продвинутый","Средняя","Оформление армирования","","Попов А.М.","IV 2024","","Готово","","Видео","Алгоритм создания видов и спецификаций ИЗ","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Оформление чертежей изделий (ИЗ)\Оформление чертежей изделий (ИЗ).mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Армирование_Оформление ИЗ.mkv","https://rutube.ru/video/9193e84333af05f65eea6ef6a4d67c27/?r=plemwd"
"102","КР","Маркировка армирования","3","Базовый","Низкая","Оформление армирования","","","","","План","","","","","","","",""
"103","КР","Простановка размеров армирования","3","Базовый","Низкая","Оформление армирования","","","","","План","","","","","","","",""
"104","КР","Моделирование свай","0","Базовый","Средняя","Моделирование фундаментов","","","","","План","","","","","","","",""
"105","КР, АР","Работа с заданием на отверстия","0","Продвинутый","Высокая","Работа с заданием на отверстия для конструктора, Работа с заданием на отверстия для архитектора","","Попов А.М.","IV 2024","","Готово","","Видео","Процесс получения задания от инженерных разделов. Настройка проверочных видов. Использование плагина ""Копировать отверстия"".","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Работа с заданием на отверстия\Работа с заданием на отверстия.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Инструкция_Revit_Работа с заданиями от инженерных разделов.mp4","https://rutube.ru/video/c235d19e03db2684c6d35994525ab545/?r=plemwd"
"106","КР, АР","Модель в контексте: Сдвиг и полый элемент выдавливания","0","Базовый","Средняя","","","Попов А.М.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Модель в контексте - Сдвиг и полый элемент выдавливания\Модель в контексте - Сдвиг и полый элемент выдавливания.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Модель в контексте - Сдвиг и полый элемент выдавливания.mkv","https://rutube.ru/video/2cf3a1b418675cc66ac1697394b15da9/?r=plemwd"
"107","КР, АР","Модель в контексте: Выдавливание","0","Базовый","Средняя","","","Попов А.М.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Модель в контексте - Выдавливание\Модель в контексте - Выдавливание.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Модель в контексте - Выдавливание.mkv","https://rutube.ru/video/5e3bd54df8407723c64bc31841996fd0/?r=plemwd"
"108","ВК","Оформление планов. Канализация","1","Базовый","Низкая","Оформление планов ВК (Планы)","","Колпаков С.Д.","I 2025","","План","","Текст","","","","","",""
"109","ВК","Оформление планов. Пожаротушение","1","Базовый","Низкая","Оформление планов ВК (Планы)","","Колпаков С.Д.","I 2025","","План","","Текст","","","","","",""
"110","Общий","Экспорт в DWG","3","Базовый","Средняя","Экспорт DWG","","Коновалов В.С.","II 2025","","План","","","Рассмотрен процесс экспорта dwg-файлов из Revit.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Экспорт DWG\Экспорт в DWG.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Экспорт в DWG.pdf","https://atom-bim.ru/Instruct/Revit/Общие/Инструкция_Revit_экспорт_в_DWG_v3.php"
"111","Общий","Трубопроводная трассировка","3","Базовый","Средняя","","","","","","План","","","","","","","",""
"112","Общий","Загрузка семейств","0","Базовый","Низкая","","","Панов А.В.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Загрузка семейств\Загрузка семейств.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Загрузка семейств.pdf","https://atom-bim.ru//Instruct/Revit/Общие/Инструкция_Revit_Загрузка_семейств_v9.php"
"113","Общий","Открытие проекта Revit","0","Базовый","Низкая","","","Красильников Д.С.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Открытие проекта Revit\Открытие проекта Revit.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Открытие проекта Revit.pdf","https://atom-bim.ru/Instruct/Revit/Общие/Открытие_проекта_v2.php"
"114","Общий","Основная надпись","0","Базовый","Низкая","","","Калачев Д.А.","IV 2024","","Готово","","Текст","Рассмотрены семейства основной надписи. Настройка основной надписи в проекте.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Основная надпись\Основная надпись.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Основная надпись.pdf","https://atom-bim.ru/Instruct/Revit/Общие/Инструкция_Revit_Основная_надпись_v4.php"
"115","Общий","Секущий диапазон","0","Базовый","Высокая","","","Колпаков С.Д., Красильников Д.С.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Секущий диапазон\Секущий диапазон.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Секущий диапазон.pdf","https://atom-bim.ru/Instruct/Revit/Общие/Секущий_диапазон_v2_1.php"
"116","Общий","Совместная работа Revit - Civil","0","Продвинутый","Высокая","","","Красильников Д.С.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Совместная работа Revit-Civil\Совместная работа Ревит-Сивил.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Совместная работа Ревит-Сивил.pdf","https://atom-bim.ru/Instruct/Civil3D/Совместная_работа_Ревит-Сивил.php"
"117","Общий","Фильтры","0","Продвинутый","Высокая","","","Калачев Д.А.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Фильтры\Фильтры.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Фильтры.mp4","https://rutube.ru/video/d9a925a1b85a7d1fe93555d7b976cc54/?r=plemwd"
"118","Общий","Горячие клавиши в Revit","0","Продвинутый","Низкая","","","Красильников Д.С.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Горячие клавиши в Revit\Горячие клавиши в Revit.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Горячие клавиши в Revit.mp4","https://rutube.ru/video/2639836acd82310b6f11ea3f25d399c3/?r=plemwd"
"119","Общий","Кнопки на нижней панели интерфейса Revit","0","Базовый","Низкая","","","Попов А.М.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Кнопки на нижней панели интерфейса Revit\Кнопки на нижней панели интерфейса Revit.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Кнопки на нижней панели интерфейса Revit.mkv","https://rutube.ru/video/734a376e76cb3557a80bc0ec533bbadd/?r=plemwd"
"120","Общий","Привязка к уровням","0","Базовый","Низкая","","","Калачев Д.А.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\Видео-инструкции Revit\Общие\Привязка к уровням","","https://rutube.ru/video/256298985a16efbbac83a1cffd05a48c/?r=plemwd"
"121","Общий","Плагин: Диспетчер связей","0","Базовый","Низкая","","","Красильников Д.С.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Плагин - Диспетчер связей\Плагин - Диспетчер связей.mov","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Инструкция_Revit_Плагин диспетчер связей.mov","https://rutube.ru/video/ad68c81d08c13e54c29b012e68d8d94d/?r=plemwd"
"122","Общий","Плагин: Диспетчер семейств","0","Базовый","Низкая","","","Красильников Д.С.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Плагин - Диспетчер семейств\Плагин - Диспетчер семейств.mov","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Плагин - Диспетчер семейств.mov","https://rutube.ru/video/private/b26460c21bcbf8f0df472376a65162df/?p=trwibjELVMd4E08gqbFTJQ&r=plemwd"
"123","Общий","Обновление связей","0","Базовый","Низкая","","","Попов А.М.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Обновление связей\Обновление связей.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Обновление связей.mp4","https://rutube.ru/video/3b8de7e9be70699836190a10e6e1ae04/?r=plemwd"
"124","Общий","ModPlus: Печать PDF","0","Базовый","Низкая","","","Попов А.М.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Печать PDF в ModPlus\Печать PDF в ModPlus.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Инструкция_Revit_ModPlus Печать.mp4","https://rutube.ru/video/cc1161875bcdd9673dca525eb3dcbd59/?r=plemwd"
"125","Общий","ModPlus: Копировать элементы из файла","0","Продвинутый","Низкая","","","Попов А.М.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Копирование элементов в ModPlus\Копирование элементов в ModPlus.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Инструкция_Revit_ModPlus Копирование элементов.mp4","https://rutube.ru/video/1bb9d40ff673829ac814ebe9c010cc50/?r=plwd"
"126","Общий","Состав проекта в ревит","3","Базовый","","","","","","","План","","","","","","","",""
"127","Общий","Типы и экземпляры семейств","3","Базовый","","","","","","","План","","","","","","","",""
"128","Общий","Диспетчер проекта: состав, организация браузера","3","Базовый","","","","Красильников Д.С.","","","План","","Текст","","","","","",""
"129","Общий","Настройки видимости/графики","0","Базовый","","","","Красильников Д.С.","","","План","","","","","","","",""
"130","Общий","Работа с материалами. Библиотека материалов","0","Базовый","","","","Красильников Д.С.","","","План","","","","","Необходимо актуализировать и декомпозировать инструкцию","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Материалы\Материалы.docx","","Старый шаблон (неконвертируется)"
"131","Общий","Настройка видимости связанных файлов","1","Базовый","Низкая","","","","","","План","","","","","","","",""
"132","Общий","Связь видимости элементов с идентификации","1","Базовый","Средняя","","","","","","План","","","","","","","",""
"133","Общий","Как безопасно работать с осями","2","Базовый","Низкая","","","","","","План","","","","","","","",""
"134","Общий","Проверка на колизии","2","Продвинутый","Средняя","","","","","","План","","","","","","","",""
"135","Общий, BIM","Системы координат","0","Продвинутый","Высокая","Координация моделей, Настройка координат файла, Настройка площадок файла","","Попов А.М.","IV 2024","","Готово","","Текст","Рассмотрены системы координат, существующие в проекте Revit.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Системы координат\Системы координат.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Системы координат.pdf","https://atom-bim.ru/Instruct/Revit/Общие/Инструкция_Revit_Системы_координат_v2.php"
"136","ГП","Корректировка проектной поверхности","0","Продвинутый","Средняя","Моделирование поверхности","","Галиева Е.Р.","II 2025","","В работе","","Текст","","","","","",""
"137","Общий","Работа с полями","0","Базовый","Низкая","Подсчет площадей","","Галиева Е.Р.","I 2025","","В работе","","Текст","","","","","",""
"138","Общий","Плагин проверки файлов DWG","0","Базовый","Средняя","Аудит файла","","Галиева Е.Р.","I 2025","","Готово","","Текст","Описан процесс проверки файла DWG с помощью плагина","","","","","https://atom-bim.ru/Instruct/Civil3D/%D0%98%D0%BDc%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_Civil_%D0%9F%D0%BB%D0%B0%D0%B3%D0%B8%D0%BD_%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%BA%D0%B8_%D1%84%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2_DWG_v1.php"
"139","ОВ","Оформление схем. Отопление","2","Продвинутый","Средняя","Оформление схем  ОВ (Схемы)","","Пятков Р.А.","II 2025","","План","","Видео","","","","","",""
"140","ОВ","Оформление схем. Кондиционирование","2","Продвинутый","Средняя","Оформление схем  ОВ (Схемы)","","Пятков Р.А.","II 2025","","План","","Видео","","","","","",""
"141","ОВ","Оформление схем. Кондиционирование","2","Продвинутый","Средняя","Оформление схем  ОВ (Схемы)","","Пятков Р.А.","II 2025","","План","","Видео","","","","","",""
"142","ОВ","Моделирование воздуховодов","2","Базовый","Средняя","","","Пятков Р.А.","II 2025","","План","","","","","","","",""
"143","ОВ","Настройка типоразмера отопительного прибора","3","Базовый","Низкая","","","Пятков Р.А.","II 2025","","План","","","","","","","",""
"144","ОВ","Оформление планов. Отопление","1","Базовый","Низкая","Оформление планов ОВ (Планы)","","Пятков Р.А.","I 2025","","План","","Текст","","","","","",""
"145","ОВ","Оформление планов. Вентиляция","1","Базовый","Низкая","Оформление планов ОВ (Планы)","","Пятков Р.А.","I 2025","","План","","Текст","","","","","",""
"146","ОВ","Оформление планов. Кондиционирование","1","Базовый","Низкая","Оформление планов ОВ (Планы)","","Пятков Р.А.","I 2025","","План","","Текст","","","","","",""
"147","ЭЛ","Teslabim: Подбор смарт-рамки ","0","Базовый","Низкая","Моделирование систем силового электрооборудования","","Васьков Д.И.","II 2025","26.05.2025","План","","Текст","","","","","",""
"148","ЭЛ","Teslabim: Импорт/Экспорт в Dialux Evo","0","Продвинутый","Средняя","Моделирование электроосвещения","","Васьков Д.И.","II 2025","23.06.2025","План","","Текст","","","","","",""
"149","ЭЛ","Оформление плана с поквартирной разводкой","0","Базовый","Низкая","Оформление поквартирной разводки","","Васьков Д.И.","III 2025","21.07.2025","План","","Текст","","","","","",""
"150","ЭЛ","Плагин: Вставка электроприборов","0","Базовый","Низкая","Моделирование поквартирной разводки","","Васьков Д.И.","III 2025","25.08.2025","План","","Текст","","","","","",""
"151","ЭЛ, СС, АК","Условно-графическое обозначение семейств","0","Базовый","Низкая","Оформление поквартирной разводки, Оформление электроосвещения, Оформление систем силового электрооборудования, Моделирование щитового оборудования","","Васьков Д.И.","II 2025","24.03.2025","В работе","","Текст","","","","","",""
"152","BIM","Создание семейства формы арматурного стержня","3","Продвинутый","Средняя","Создание семейства формы арматурного стержня","","","","","План","","","","","","","",""
"153","BIM","Настройка плагинов для расчёта параметров формы арматурного стержня","3","Продвинутый","Средняя","Создание семейства формы арматурного стержня","","","","","План","","","","","","","",""
"154","BIM","Разделение моделей АР/КР","2","Продвинутый","Высокая","Разделение моделей АР/КР","","","","","План","","","","","","","",""
"155","Общий","Плагин. Атом.Справка","1","Базовый","Низкая","","","Попов А.М.","I 2025","28.03.2025","Проверка","","Текст","Описание работы плагина Атом.Справка. ","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Плагин Атом.Справка\Плагин. Атом.Справка.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Плагин. Атом.Справка.pdf","https://atom-bim.ru/Instruct/Revit/Общие/Плагин._Атом.Справка.php"
"156","Общий","Плагин: Диспетчер отверстий","","","","","","","","","План","","","","","","","",""
"157","Общий","Настройка параметров Revit","3","Базовый","Низкая","Первичная настройка Revit","","Красильников Д.С.","IV 2024","","Готово","","Текст","Рассмотрены базовые настройки ПО Revit.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Настройка параметров Revit\Настройка параметров Revit.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Настройка параметров Revit.pdf","https://atom-bim.ru/Instruct/Revit/Общие/Настройка_параметров_Revit_v1.php"
"158","Общий","Печать PDF в Revit","3","Базовый","Низкая","Печать листов","","Калачев Д.А.","IV 2024","","Готово","","Текст","Рассмотрен стандартный способ экспорта PDF из Revit.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Печать PDF в Revit\Печать PDF в Revit.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Печать PDF в Revit.pdf","https://atom-bim.ru/Instruct/Revit/Общие/Инструкция_Revit_печать_в_PDF_v3.php"
"159","АР","Уровни","2","Базовый","Средняя","","","Панов А.В.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Уровни\Уровни.docx","https://atom-bim.ru/Instruct/Revit/АР/Уровни_v3.php","https://atom-bim.ru/Instruct/Revit/АР/Уровни_v3.php"
"160","Общий","Оси","2","Базовый","Средняя","","","Панов А.В.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Оси\Оси.docx","","https://atom-bim.ru/Instruct/Revit/АР/Инструкция_Revit_Оси_v2.php"
"161","АР, КР","Копирование отверстий","3","Базовый","Средняя","Работа с заданием на отверстия для конструктора, Работа с заданием на отверстия для архитектора","","Попов А.М.","","","План","","Текст","","","Сначала требуется разработать плагин","","",""
"162","Общий","Рабочие наборы","0","Базовый","Низкая","Совместная работа","","Васьков Д.И.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Рабочие наборы\Рабочие наборы.docx","","https://atom-bim.ru/Instruct/Revit/ЭЛ/Инструкция_Revit_Рабочие_наборы_v4.0.php"
"163","BIM","Требования к пользовательским семействам","0","Продвинутый","Высокая","","","Панов А.В.","IV 2024","","Готово","","Текст","Определены требования к пользовательским семействам.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Требования к пользовательским семействам\Требования к пользовательским семействам.docx","","Старый шаблон (неконвертируется)"
"164","Общий","Использование реестра семейств","0","Базовый","Низкая","","","Попов А.М.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Реестр семейств\Использование реестра семейств.docx","","Нет оригинала"
"165","Общий","Использование DWG подложки","0","Продвинутый","Средняя","","","Панов А.В.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\00_ОБЩИЕ\Использование DWG подложки\Использование DWG подложки.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Использование DWG подложки.pdf","https://atom-bim.ru/Instruct/Revit/Общие/Использование_DWG_подложки.php"
"166","АР","Подготовка задания АР на разработку ПД","0","Базовый","Средняя","Оформление задания на разработку стадии П","Заполнение бланка задания на разработку стадии Р","Панов А.В.","IV 2024","","Готово","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Подготовка задания АР на разработку ПД\Подготовка задания АР на разработку ПД.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Подготовка задания АР на разработку ПД.pdf","Старый шаблон (неконвертируется)"
"167","АР","Моделирование витражей","0","Базовый","Средняя","Моделирование витражей","Настройка типоразмера панели витража, Настройка типоразмера двери витража, Настройка схемы разрезки витража, Настройка типоразмера импоста витража, Настройка типоразмера витража, Настройка типоразмера витражного проёма, Моделирование витражного проёма, Настройка типоразмера перемычки, Размещение перемычки","Попов А.М.","II 2025","","Проверка","","Текст","Показан процесс моделирования стандартного прямоугольного витража. Инструкция объединяет материал инструкций на настройку отдельных элементов.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Моделирование витражей\Моделирование витражей.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Моделирование витражей.pdf","https://atom-bim.ru/Instruct/Revit/АР/Моделирование_витражей.php"
